ROWS,COLUMNS,NUM_THREADS,TIME,SPEEDUP,EFFICIENCY
100,100,1,0.000122,1.0,1.0
100,100,2,0.000766,0.159269,0.079634
100,100,3,0.004215,0.028944,0.009648
100,100,4,0.004014,0.030394,0.007598
100,100,5,0.005072,0.024054,0.004811
100,100,6,0.005303,0.023006,0.003834
100,100,7,0.005885,0.020731,0.002962
100,100,8,0.006993,0.017446,0.002181
100,1000,1,0.001089,1.0,1.0
100,1000,2,0.002825,0.385487,0.192744
100,1000,3,0.003558,0.306071,0.102024
100,1000,4,0.00419,0.259905,0.064976
100,1000,5,0.004393,0.247894,0.049579
100,1000,6,0.00543,0.200552,0.033425
100,1000,7,0.006099,0.178554,0.025508
100,1000,8,0.007194,0.151376,0.018922
100,10000,1,0.010666,1.0,1.0
100,10000,2,0.007597,1.403975,0.701988
100,10000,3,0.007076,1.507349,0.50245
100,10000,4,0.005456,1.954912,0.488728
100,10000,5,0.005671,1.880797,0.376159
100,10000,6,0.007587,1.405826,0.234304
100,10000,7,0.00679,1.570839,0.224406
100,10000,8,0.016662,0.640139,0.080017
100,100000,1,0.021846,1.0,1.0
100,100000,2,0.022342,0.9778,0.4889
100,100000,3,0.021275,1.026839,0.34228
100,100000,4,0.021942,0.995625,0.248906
100,100000,5,0.020863,1.047117,0.209423
100,100000,6,0.022137,0.986855,0.164476
100,100000,7,0.020889,1.045814,0.149402
100,100000,8,0.021621,1.010407,0.126301
1000,100,1,0.001113,1.0,1.0
1000,100,2,0.002025,0.54963,0.274815
1000,100,3,0.00376,0.296011,0.09867
1000,100,4,0.004132,0.269361,0.06734
1000,100,5,0.004973,0.223809,0.044762
1000,100,6,0.00548,0.203102,0.03385
1000,100,7,0.006379,0.174479,0.024926
1000,100,8,0.007255,0.153411,0.019176
1000,1000,1,0.010156,1.0,1.0
1000,1000,2,0.0067,1.515821,0.75791
1000,1000,3,0.006602,1.538322,0.512774
1000,1000,4,0.00643,1.579471,0.394868
1000,1000,5,0.006424,1.580946,0.316189
1000,1000,6,0.005838,1.739637,0.28994
1000,1000,7,0.007108,1.428813,0.204116
1000,1000,8,0.007962,1.275559,0.159445
1000,10000,1,0.09571,1.0,1.0
1000,10000,2,0.053149,1.800786,0.900393
1000,10000,3,0.03828,2.500261,0.83342
1000,10000,4,0.029571,3.236617,0.809154
1000,10000,5,0.026057,3.673101,0.73462
1000,10000,6,0.022659,4.223929,0.703988
1000,10000,7,0.020404,4.690747,0.670107
1000,10000,8,0.022498,4.254156,0.53177
10000,100,1,0.01001,1.0,1.0
10000,100,2,0.006836,1.464307,0.732154
10000,100,3,0.006459,1.549776,0.516592
10000,100,4,0.006869,1.457272,0.364318
10000,100,5,0.005278,1.896552,0.37931
10000,100,6,0.006036,1.658383,0.276397
10000,100,7,0.00857,1.168028,0.166861
10000,100,8,0.010561,0.947827,0.118478
10000,1000,1,0.094479,1.0,1.0
10000,1000,2,0.053271,1.773554,0.886777
10000,1000,3,0.037979,2.487664,0.829221
10000,1000,4,0.031693,2.981068,0.745267
10000,1000,5,0.027036,3.494563,0.698913
10000,1000,6,0.023018,4.10457,0.684095
10000,1000,7,0.020982,4.50286,0.643266
10000,1000,8,0.020152,4.688319,0.58604
10000,10000,1,0.957403,1.0,1.0
10000,10000,2,0.48691,1.966283,0.983142
10000,10000,3,0.32896,2.910393,0.970131
10000,10000,4,0.250939,3.815282,0.95382
10000,10000,5,0.202946,4.717526,0.943505
10000,10000,6,0.171439,5.584511,0.930752
10000,10000,7,0.150339,6.368294,0.909756
10000,10000,8,0.140733,6.802974,0.850372
10000,100000,1,9.592343,1.0,1.0
10000,100000,2,4.81592,1.991799,0.9959
10000,100000,3,3.220739,2.978305,0.992768
10000,100000,4,2.423779,3.957598,0.9894
10000,100000,5,1.953171,4.911164,0.982233
10000,100000,6,1.646745,5.825032,0.970839
10000,100000,7,1.444473,6.640722,0.948675
10000,100000,8,1.319977,7.267053,0.908382
100000,10000,1,11.492956,1.0,1.0
100000,10000,2,5.767024,1.992875,0.996438
100000,10000,3,3.864924,2.973656,0.991219
100000,10000,4,2.906376,3.954394,0.988598
100000,10000,5,2.330143,4.932296,0.986459
100000,10000,6,1.953381,5.883622,0.980604
100000,10000,7,1.685942,6.816934,0.973848
100000,10000,8,1.485431,7.737119,0.96714
